Filename,Rating,Ethnicity
CF137.jpg,2.933333,Caucasian
AF1814.jpg,3.116667,Asian
AM1557.jpg,2.116667,Asian
AF687.jpg,2.733333,Asian
AF1044.jpg,2.983333,Asian
AM1813.jpg,3.733333,Asian
AM414.jpg,2.816667,Asian
AM145.jpg,3.033333,Asian
CF683.jpg,4.183333,Caucasian
AM51.jpg,3.75,Asian
AF51.jpg,2.35,Asian
AF894.jpg,3.166667,Asian
AM172.jpg,2.85,Asian
AM1374.jpg,2.65,Asian
AF712.jpg,2.616667,Asian
AM1940.jpg,4.3,Asian
AF1255.jpg,4.216667,Asian
CM359.jpg,2.966667,Caucasian
AM1448.jpg,2.5,Asian
AF493.jpg,2.8,Asian
CF30.jpg,3.366667,Caucasian
AF1977.jpg,4.45,Asian
AM1985.jpg,2.183333,Asian
AF713.jpg,2.533333,Asian
AM944.jpg,1.783333,Asian
AM1114.jpg,3.316667,Asian
AM1026.jpg,2.266667,Asian
AM1805.jpg,3.666667,Asian
CF350.jpg,2.55,Caucasian
AF898.jpg,4.066667,Asian
CF48.jpg,2.75,Caucasian
AF1373.jpg,2.783333,Asian
AF1126.jpg,2.583333,Asian
AF1664.jpg,3.266667,Asian
AF257.jpg,2.383333,Asian
CM135.jpg,2.65,Caucasian
CM587.jpg,1.716667,Caucasian
AM818.jpg,2.783333,Asian
CM650.jpg,4.45,Caucasian
CM550.jpg,2.35,Caucasian
AM1648.jpg,4.066667,Asian
AM1561.jpg,3.216667,Asian
AF1082.jpg,2.633333,Asian
AF908.jpg,3.066667,Asian
AF384.jpg,2.033333,Asian
AF905.jpg,4.416667,Asian
AF969.jpg,3.783333,Asian
AF708.jpg,1.9,Asian
CM502.jpg,2.516667,Caucasian
AF212.jpg,2.8,Asian
CM218.jpg,2.883333,Caucasian
AF1446.jpg,3.766667,Asian
AF573.jpg,2.683333,Asian
AF1250.jpg,2.433333,Asian
AF1447.jpg,4.316667,Asian
AM2000.jpg,3.083333,Asian
AM1744.jpg,3.233333,Asian
AF1945.jpg,3.066667,Asian
AM1930.jpg,4.3,Asian
AM801.jpg,2.816667,Asian
CF43.jpg,2.283333,Caucasian
AF850.jpg,3.616667,Asian
AM1174.jpg,2.433333,Asian
AF163.jpg,2.8,Asian
CF206.jpg,2.133333,Caucasian
AF1603.jpg,3.95,Asian
CM336.jpg,2.9,Caucasian
AF287.jpg,1.7,Asian
AF143.jpg,1.783333,Asian
AM783.jpg,2.65,Asian
AF304.jpg,1.933333,Asian
AF1324.jpg,4.05,Asian
AM759.jpg,2.983333,Asian
AM1312.jpg,2.733333,Asian
AM1227.jpg,2.366667,Asian
CF618.jpg,4.05,Caucasian
CF384.jpg,2.666667,Caucasian
CF542.jpg,2.9,Caucasian
CM657.jpg,4.083333,Caucasian
CF513.jpg,2.266667,Caucasian
AF70.jpg,2.916667,Asian
AM1360.jpg,2.216667,Asian
AM1969.jpg,3.7,Asian
CM546.jpg,3.15,Caucasian
AF1497.jpg,2.85,Asian
AM107.jpg,2.983333,Asian
AM37.jpg,3.066667,Asian
CF252.jpg,3.5,Caucasian
AM995.jpg,2.7,Asian
AM1349.jpg,2.7,Asian
CM441.jpg,2.633333,Caucasian
AM587.jpg,2.8,Asian
AF109.jpg,2.333333,Asian
AM891.jpg,2.716667,Asian
CF233.jpg,3.05,Caucasian
AF1602.jpg,3.7,Asian
AM138.jpg,3.233333,Asian
AM648.jpg,2.583333,Asian
CF471.jpg,2.683333,Caucasian
AM1831.jpg,3.516667,Asian
AM1209.jpg,2.466667,Asian
CM420.jpg,3.75,Caucasian
AF1789.jpg,3.65,Asian
AM948.jpg,2.916667,Asian
AM604.jpg,2.783333,Asian
CF295.jpg,3.8,Caucasian
AM1787.jpg,2.8,Asian
AM684.jpg,3.016667,Asian
