Filename,Rating,Ethnicity,Gender
CF137.jpg,2.933333,Caucasian,Female
AF1814.jpg,3.116667,Asian,Female
AM1557.jpg,2.116667,Asian,Male
AF687.jpg,2.733333,Asian,Female
AF1044.jpg,2.983333,Asian,Female
AM1813.jpg,3.733333,Asian,Male
AM414.jpg,2.816667,Asian,Male
AM145.jpg,3.033333,Asian,Male
CF683.jpg,4.183333,Caucasian,Female
AM51.jpg,3.75,Asian,Male
AF51.jpg,2.35,Asian,Female
AF894.jpg,3.166667,Asian,Female
AM172.jpg,2.85,Asian,Male
AM1374.jpg,2.65,Asian,Male
AF712.jpg,2.616667,Asian,Female
AM1940.jpg,4.3,Asian,Male
AF1255.jpg,4.216667,Asian,Female
CM359.jpg,2.966667,Caucasian,Male
AM1448.jpg,2.5,Asian,Male
AF493.jpg,2.8,Asian,Female
CF30.jpg,3.366667,Caucasian,Female
AF1977.jpg,4.45,Asian,Female
AM1985.jpg,2.183333,Asian,Male
AF713.jpg,2.533333,Asian,Female
AM944.jpg,1.783333,Asian,Male
AM1114.jpg,3.316667,Asian,Male
AM1026.jpg,2.266667,Asian,Male
AM1805.jpg,3.666667,Asian,Male
CF350.jpg,2.55,Caucasian,Female
AF898.jpg,4.066667,Asian,Female
CF48.jpg,2.75,Caucasian,Female
AF1373.jpg,2.783333,Asian,Female
AF1126.jpg,2.583333,Asian,Female
AF1664.jpg,3.266667,Asian,Female
AF257.jpg,2.383333,Asian,Female
CM135.jpg,2.65,Caucasian,Male
CM587.jpg,1.716667,Caucasian,Male
AM818.jpg,2.783333,Asian,Male
CM650.jpg,4.45,Caucasian,Male
CM550.jpg,2.35,Caucasian,Male
AM1648.jpg,4.066667,Asian,Male
AM1561.jpg,3.216667,Asian,Male
AF1082.jpg,2.633333,Asian,Female
AF908.jpg,3.066667,Asian,Female
AF384.jpg,2.033333,Asian,Female
AF905.jpg,4.416667,Asian,Female
AF969.jpg,3.783333,Asian,Female
AF708.jpg,1.9,Asian,Female
CM502.jpg,2.516667,Caucasian,Male
AF212.jpg,2.8,Asian,Female
CM218.jpg,2.883333,Caucasian,Male
AF1446.jpg,3.766667,Asian,Female
AF573.jpg,2.683333,Asian,Female
AF1250.jpg,2.433333,Asian,Female
AF1447.jpg,4.316667,Asian,Female
AM2000.jpg,3.083333,Asian,Male
AM1744.jpg,3.233333,Asian,Male
AF1945.jpg,3.066667,Asian,Female
AM1930.jpg,4.3,Asian,Male
AM801.jpg,2.816667,Asian,Male
CF43.jpg,2.283333,Caucasian,Female
AF850.jpg,3.616667,Asian,Female
AM1174.jpg,2.433333,Asian,Male
AF163.jpg,2.8,Asian,Female
CF206.jpg,2.133333,Caucasian,Female
AF1603.jpg,3.95,Asian,Female
CM336.jpg,2.9,Caucasian,Male
AF287.jpg,1.7,Asian,Female
AF143.jpg,1.783333,Asian,Female
AM783.jpg,2.65,Asian,Male
AF304.jpg,1.933333,Asian,Female
AF1324.jpg,4.05,Asian,Female
AM759.jpg,2.983333,Asian,Male
AM1312.jpg,2.733333,Asian,Male
AM1227.jpg,2.366667,Asian,Male
CF618.jpg,4.05,Caucasian,Female
CF384.jpg,2.666667,Caucasian,Female
CF542.jpg,2.9,Caucasian,Female
CM657.jpg,4.083333,Caucasian,Male
CF513.jpg,2.266667,Caucasian,Female
AF70.jpg,2.916667,Asian,Female
AM1360.jpg,2.216667,Asian,Male
AM1969.jpg,3.7,Asian,Male
CM546.jpg,3.15,Caucasian,Male
AF1497.jpg,2.85,Asian,Female
AM107.jpg,2.983333,Asian,Male
AM37.jpg,3.066667,Asian,Male
CF252.jpg,3.5,Caucasian,Female
AM995.jpg,2.7,Asian,Male
AM1349.jpg,2.7,Asian,Male
CM441.jpg,2.633333,Caucasian,Male
AM587.jpg,2.8,Asian,Male
AF109.jpg,2.333333,Asian,Female
AM891.jpg,2.716667,Asian,Male
CF233.jpg,3.05,Caucasian,Female
AF1602.jpg,3.7,Asian,Female
AM138.jpg,3.233333,Asian,Male
AM648.jpg,2.583333,Asian,Male
CF471.jpg,2.683333,Caucasian,Female
AM1831.jpg,3.516667,Asian,Male
AM1209.jpg,2.466667,Asian,Male
CM420.jpg,3.75,Caucasian,Male
AF1789.jpg,3.65,Asian,Female
AM948.jpg,2.916667,Asian,Male
AM604.jpg,2.783333,Asian,Male
CF295.jpg,3.8,Caucasian,Female
AM1787.jpg,2.8,Asian,Male
AM684.jpg,3.016667,Asian,Male
AM1817.jpg,3.116667,Asian,Male
CM589.jpg,2.883333,Caucasian,Male
AM1067.jpg,2.133333,Asian,Male
AF672.jpg,2.466667,Asian,Female
AM411.jpg,2.816667,Asian,Male
CF111.jpg,2.983333,Caucasian,Female
CM747.jpg,3.85,Caucasian,Male
AM1389.jpg,2.766667,Asian,Male
